56684	26.4	103.25
57271	32.52	112.38
57304	31.67	105.17
57303	31.73	105.92
57297	32.13	114.05
57296	32.35	114.67
57294	32.83	114.02
57292	32.9	114.62
57290	32.93	113.92
57285	32.38	113.42
57281	32.68	113.3
57279	32.15	112.75
57278	32.0	112.08
57274	32.7	111.98
57273	32.73	112.8
57265	32.43	111.73
57307	31.1	105.08
57261	33.12	111.52
57260	32.57	111.52
57259	32.03	110.77
57257	32.23	110.23
57256	32.65	110.78
57253	32.84	110.87
57251	33.0	110.41
57249	32.32	109.69
57238	32.52	107.89
57237	32.07	108.03
57232	33.05	108.27
57231	32.53	108.53
57216	32.35	106.83
57306	31.58	105.98
57308	31.22	105.38
57208	32.28	105.52
57349	31.08	109.86
57387	31.0	113.13
57386	31.25	114.0
57385	31.63	113.86
57381	31.62	113.34
57378	31.2	112.63
57370	31.73	112.22
57368	31.05	111.63
57363	31.8	111.83
57362	31.75	110.67
57361	31.88	111.27
57359	31.35	110.73
57358	30.83	110.97
57355	31.05	110.37
57348	31.02	109.53
57309	30.98	105.88
57345	31.4	109.62
57339	30.95	108.68
57338	31.18	108.42
57333	31.95	108.67
57329	31.1	107.85
57328	31.21	107.51
57326	31.37	107.72
57324	31.58	107.08
57320	31.93	107.22
57318	31.08	106.56
57317	31.03	106.41
57314	31.34	106.07
57313	31.87	106.77
57211	32.83	106.25
57206	32.42	105.9
55690	27.98	91.95
57082	34.47	113.02
57102	33.75	105.72
57099	34.07	114.85
57095	34.12	114.15
57094	34.4	114.22
57091	34.78	114.3
57090	34.72	113.97
57089	34.07	113.93
57088	34.18	113.5
57087	34.27	113.73
57086	34.38	113.72
57085	34.53	113.33
57084	34.5	113.05
57083	34.72	113.65
57081	34.8	113.43
57106	33.32	106.15
57077	33.78	111.65
57071	34.8	112.47
57067	34.08	111.07
57063	34.77	111.77
57061	34.85	111.2
57057	34.1	110.15
57052	34.88	110.45
57051	34.8	111.2
57049	34.52	109.73
57048	34.4	108.72
57046	34.48	110.08
57045	34.4	109.49
57039	34.08	108.88
57105	33.33	105.6
57110	33.78	106.08
57198	33.5	114.57
57173	33.75	112.88
57196	33.41	114.87
57195	33.62	114.62
57193	33.78	114.52
57192	33.71	114.88
57191	34.52	114.47
57189	33.15	113.96
57188	33.37	114.03
57184	33.63	113.3
57181	33.88	113.05
57180	33.98	113.2
57179	33.28	113.0
57178	33.1	112.49
57177	33.33	113.53
57169	33.15	111.88
57111	33.92	106.3
57156	33.3	111.5
57154	33.53	110.9
57143	33.85	109.97
57140	33.67	109.12
57137	33.32	108.32
57134	33.52	107.98
57131	34.43	108.97
57127	33.07	107.03
59838	19.1	108.62
57124	33.63	106.93
57123	34.28	108.07
59842	19.9	109.68
57113	33.93	106.55
57388	31.27	113.71
57389	31.04	113.75
57395	31.59	114.17
57571	29.66	112.41
57606	28.13	106.83
57605	28.03	105.82
57604	28.79	105.39
57603	28.82	105.83
57598	29.02	114.57
57595	29.61	114.46
57589	29.27	113.88
57586	29.53	114.03
57583	29.92	113.97
57582	29.72	113.88
57581	29.81	113.45
57575	29.52	112.55
57574	29.37	112.39
57562	29.58	111.36
57609	28.58	105.7
57554	29.4	110.16
57545	29.53	109.42
57544	29.47	109.45
57543	29.9	110.03
57541	30.0	109.48
57540	29.68	109.15
57537	29.3	108.17
57536	29.52	108.76
57525	29.32	107.75
57523	29.85	107.73
57522	29.74	107.27
57520	29.83	107.07
57519	29.16	107.11
57608	28.17	105.43
57612	29.0	106.65
57398	31.28	114.62
57687	28.11	112.79
57774	27.45	112.17
57758	27.03	110.61
57752	27.92	110.6
57735	27.18	108.82
57717	27.53	106.83
57712	27.73	106.95
57708	27.15	105.6
57707	27.3	105.29
57699	28.23	114.97
57698	28.1	114.43
57696	28.4	114.78
57694	28.53	114.38
57688	28.16	113.63
57679	28.21	113.2
57614	28.33	106.22
57673	28.73	112.93
57671	28.85	112.37
57669	28.38	111.22
57662	29.12	111.68
57655	28.47	110.4
57649	28.24	109.68
57637	28.25	108.1
57636	28.57	108.5
57635	28.37	109.02
57634	28.52	107.89
57633	28.82	108.77
57625	28.54	107.46
57623	28.88	107.6
57518	29.33	106.5
57517	29.28	106.25
57516	29.58	106.46
57425	30.31	107.4
57464	30.47	111.18
57461	30.74	111.36
57460	30.82	111.78
57458	30.15	111.07
57453	30.76	111.42
57447	30.29	109.47
57445	30.6	109.72
57439	30.28	108.93
57438	29.98	108.12
57437	30.3	108.03
57432	30.77	108.4
57431	30.83	108.35
57426	30.68	107.8
57420	30.75	107.19
57514	29.58	106.22
57417	30.35	106.28
57416	30.33	106.93
57415	30.53	106.63
57414	30.52	106.45
57413	30.85	106.97
57411	30.75	106.13
57409	30.21	105.78
57408	30.11	105.32
57407	30.28	105.03
57405	30.5	105.55
57402	30.77	105.7
57401	30.87	105.37
57399	31.13	114.95
57465	30.36	111.43
57466	30.46	111.75
57469	30.18	111.77
57475	30.4	112.9
57513	29.73	106.62
57512	29.97	106.26
57511	29.85	106.45
57510	29.85	106.07
57509	28.99	106.92
57508	29.15	105.37
57507	29.33	105.3
57506	29.37	105.9
57505	29.41	105.59
57503	29.62	105.12
57502	29.7	105.7
57499	30.07	114.88
57498	30.52	114.94
57496	30.25	114.62
57495	30.67	114.88
57494	30.6	114.05
57493	30.35	114.33
57492	30.84	114.84
57489	30.52	114.01
57486	30.65	113.85
57485	30.28	113.47
57484	30.74	112.55
57483	30.67	113.13
57482	30.9	113.95
57481	30.95	113.57
57477	30.08	112.22
57476	30.35	112.15
57037	34.93	108.97
57034	34.31	108.24
57030	34.7	108.15
56371	29.89	102.21
56390	29.67	104.07
56389	29.2	103.95
56387	29.23	103.26
56386	29.56	103.76
56384	29.6	103.48
56383	29.83	103.87
56382	29.75	103.55
56381	30.07	103.49
56380	29.88	103.36
56378	29.23	102.35
56376	29.34	102.64
56374	30.05	101.97
56373	29.79	102.84
56357	29.05	100.3
56393	29.77	104.85
56317	29.22	94.22
56307	29.15	92.58
56298	30.13	104.6
56297	30.02	104.15
56296	30.81	104.43
56295	30.38	104.55
56291	30.97	104.31
56290	30.78	104.18
56289	30.2	103.87
56288	30.58	103.92
56287	29.98	103.0
56285	30.56	103.47
56284	30.44	103.44
56391	30.08	103.82
56394	29.45	104.43
56578	27.07	102.75
56489	28.24	103.62
56567	27.26	100.86
56565	27.44	101.49
56548	27.18	99.29
56533	27.75	98.67
56499	28.38	104.78
56498	28.15	104.5
56497	28.11	104.24
56496	28.3	105.23
56494	28.84	104.33
56493	28.85	104.97
56492	28.77	104.61
