54662	38.91	121.64
54483	40.87	123.9
54523	39.43	117.06
54522	39.88	117.73
54520	39.97	117.08
54514	39.87	116.25
54511	39.8	116.47
54506	39.32	115.95
54502	39.48	116.03
54501	39.97	115.69
54497	40.03	124.33
54494	40.47	124.05
54493	40.72	124.78
54479	40.02	122.7
54645	38.85	117.47
54476	40.18	122.15
54474	40.41	122.36
54472	40.88	122.75
54471	40.67	122.17
59033	24.78	108.87
54455	40.62	120.65
54454	40.33	120.31
54452	40.8	119.79
54449	39.85	119.52
54439	40.02	118.71
54437	39.51	118.62
54528	39.23	117.13
54531	39.73	118.72
54533	39.58	118.09
54534	39.65	118.1
54640	36.92	114.87
59012	24.78	106.55
54631	37.07	115.15
54626	38.42	115.82
54624	38.41	117.32
54621	38.18	115.18
54618	38.08	116.55
54617	38.21	116.17
54615	38.58	116.85
54613	38.7	116.62
54609	38.23	115.59
54607	38.7	115.11
54606	38.22	115.74
54605	38.93	115.93
54603	38.71	115.77
54597	39.73	115.74
54594	39.72	116.35
54590	39.92	124.15
54575	39.4	122.34
54565	39.6	121.47
59025	24.53	107.38
54541	39.9	119.23
54539	39.43	118.89
54436	40.42	118.95
54434	40.17	118.33
54429	40.2	117.95
54291	42.79	130.35
54267	42.25	125.73
54249	42.3	123.86
54243	42.78	124.09
54223	42.85	120.65
54214	42.58	118.42
54204	42.28	115.03
54186	43.37	128.2
54157	43.12	124.39
54154	43.35	124.3
54135	43.6	122.27
54132	42.4	121.07
54122	43.86	120.03
54115	43.63	118.03
54102	43.95	116.12
54098	44.33	129.47
54096	44.39	131.18
54080	44.9	127.15
59052	24.83	110.82
54027	43.98	119.4
53997	35.15	114.18
53994	35.38	114.07
53993	35.93	114.92
53992	35.65	114.52
54279	42.05	126.58
54301	41.67	115.65
54424	40.17	117.12
54304	40.95	115.27
54423	40.97	117.92
54420	40.93	117.33
54419	40.37	116.63
54412	40.73	116.63
54406	40.45	115.97
54404	40.88	115.83
54401	40.77	114.92
54399	39.98	116.28
54398	40.13	116.62
54386	41.42	128.18
54374	41.8	126.88
58839	26.23	118.85
54362	41.67	125.73
54346	41.31	123.78
54339	41.09	123.0
54338	41.27	122.04
54332	41.51	122.7
54330	41.14	121.34
54328	41.12	119.77
54326	41.41	119.62
54319	41.01	118.67
54313	41.93	118.7
54308	41.2	116.63
54644	38.05	117.12
54660	38.82	121.23
58917	25.08	116.1
54919	35.38	116.98
58936	25.37	118.7
58938	25.23	118.98
54943	35.88	120.0
54940	35.75	119.2
54939	35.17	118.82
54936	35.57	118.84
54932	35.77	118.65
54929	35.27	117.97
54927	35.1	117.2
54923	35.72	117.93
54920	35.65	117.29
54916	35.57	116.85
58954	25.46	119.67
54915	35.44	116.6
54912	35.77	116.5
54911	35.93	116.4
54910	35.82	116.05
54908	35.27	115.1
54905	35.59	115.93
54901	36.08	115.17
54900	35.7	115.02
54861	36.93	121.53
54857	36.07	120.33
54855	36.4	120.38
58933	26.92	118.98
58928	25.02	117.53
58927	25.05	117.02
55576	29.34	89.25
56081	34.7	103.35
56080	35.0	102.9
56074	34.0	102.08
56071	34.59	102.5
56065	34.73	101.6
56046	33.75	99.65
56043	34.48	100.23
56038	32.98	98.1
56033	34.92	98.22
56029	33.0	96.96
56016	33.85	95.62
56004	34.22	92.43
58921	25.97	117.35
55773	27.73	89.08
58923	25.7	117.83
55655	28.19	85.97
58925	25.07	119.13
55598	29.27	91.77
55593	29.85	91.73
55591	29.67	91.13
55589	29.3	90.98
58926	25.3	117.42
55585	29.45	90.17
54852	36.97	120.72
54851	36.9	120.56
54848	35.97	119.48
54778	37.17	122.48
54774	37.47	122.13
54765	37.48	121.43
54764	37.48	121.23
58942	25.72	119.38
54759	37.32	120.85
54752	37.8	120.77
54751	37.94	120.73
54749	37.18	119.95
58944	25.52	119.78
54744	37.58	118.55
58946	25.45	119.0
54738	37.05	118.37
54737	37.15	118.15
54736	37.43	118.67
54734	37.36	118.0
54731	37.48	118.22
54729	37.17	117.87
54723	37.65	117.57
54713	37.88	116.53
54710	37.87	116.17
54709	37.23	116.07
54703	37.8	115.88
54701	37.93	115.2
54777	37.21	122.06
54801	36.85	115.48
54846	36.39	119.74
54803	36.98	116.02
54844	36.42	119.18
54842	36.79	119.99
54837	36.68	118.84
54836	36.18	118.17
54834	36.87	118.28
54833	36.97	118.08
54831	36.65	118.5
54830	36.82	117.93
54829	36.77	117.87
54828	36.23	117.68
54825	36.52	117.85
54824	36.63	117.95
54823	36.6	117.01
54822	36.87	117.73
54821	37.0	117.2
54820	36.81	115.21
54819	36.18	116.8
54815	36.38	116.27
54814	36.53	116.26
54812	36.74	116.72
54809	36.55	115.28
54808	36.23	115.63
54805	36.45	115.47
53989	35.08	113.98
53987	35.1	113.35
53982	35.23	113.27
59082	24.67	113.6
52978	35.19	102.49
52974	35.54	102.03
52968	35.03	101.47
52896	36.55	104.14
52889	36.04	103.88
52884	36.35	103.95
52876	36.33	102.83
52866	36.73	101.75
52833	36.93	98.48
52825	36.43	96.43
52824	36.46	95.75
52797	37.18	104.05
53980	36.55	114.8
52765	37.38	101.61
52707	36.8	93.68
52679	37.89	102.87
52674	38.22	101.93
52652	39.08	100.28
52602	38.75	93.33
52575	39.42	102.78
52557	39.15	100.17
52546	39.37	99.83
59087	23.88	113.52
52495	40.17	104.8
52980	35.97	103.3
52986	35.37	103.87
52988	35.37	103.72
59065	24.42	111.5
53498	40.57	115.03
53491	40.68	114.38
53490	40.43	114.07
53486	40.37	113.77
53484	40.45	113.15
53475	40.52	112.47
53472	40.87	112.57
53467	40.25	111.25
53466	40.75	111.7
53455	40.55	110.53
53433	40.73	108.65
53420	40.85	107.12
53419	40.33	107.0
53399	41.15	114.7
53392	41.86	114.58
53385	41.6	113.54
53378	41.28	112.62
53368	41.08	111.46
53367	41.32	111.23
53357	41.03	110.1
53343	41.77	109.97
53336	41.57	108.52
53324	41.07	107.05
52447	40.0	98.88
52346	41.38	99.6
52267	41.95	101.07
51467	42.76	86.33
51430	43.83	81.15
51381	44.82	90.01
51379	44.02	89.57
