50136	122.52	52.97
50137	122.37	53.47
50246	124.72	52.35
50247	123.57	52.03
50349	124.33	51.7
50353	126.65	51.72
50425	120.18	50.25
50431	121.52	50.78
50434	121.68	50.48
50442	124.12	50.4
50445	123.73	50.58
50468	127.45	50.25
50514	117.32	49.58
50524	119.43	49.32
50525	119.75	49.15
50526	120.7	49.28
50527	119.75	49.22
50548	123.72	49.2
50557	125.23	49.17
50564	127.35	49.43
50566	128.47	49.55
50603	116.82	48.67
50618	118.27	48.22
50632	121.92	48.77
50639	122.73	48.0
50645	124.48	48.48
50646	124.85	48.48
50647	123.48	48.13
50655	126.18	48.5
50656	126.52	48.28
50658	125.88	48.05
50659	126.25	48.03
50673	130.4	48.88
50674	129.43	48.57
50727	119.93	47.17
50739	123.18	47.33
50741	123.5	47.93
50742	124.48	47.8
50745	123.92	47.38
50749	124.83	47.18
50750	125.3	47.9
50755	126.1	47.6
50756	126.97	47.45
50758	125.9	47.18
50767	127.1	47.23
50772	129.23	48.1
50774	128.92	47.73
50775	130.27	47.33
50776	130.83	47.57
50778	132.53	47.67
50779	134.28	48.37
50787	131.85	47.28
50788	131.98	47.23
50832	122.08	46.72
50833	122.9	46.72
50834	121.22	46.6
50838	122.05	46.08
50842	124.42	46.83
50844	123.45	46.4
50850	125.13	46.57
50851	126.08	46.68
50852	126.45	46.83
50853	126.97	46.62
50854	125.32	46.38
50858	125.93	46.07
50859	126.27	46.25
50861	127.48	46.88
50862	128.02	46.98
50867	127.35	46.08
50871	129.88	46.73
50873	130.3	46.78
50877	129.58	46.3
50878	130.72	47.0
50879	130.55	46.22
50880	131.12	46.73
50881	131.78	46.78
50884	131.15	46.63
50888	132.18	46.32
50892	134.0	46.8
50913	118.83	45.72
50915	116.97	45.52
50924	119.67	45.53
50928	120.33	45.07
50934	121.58	45.38
50936	122.83	45.63
50937	121.47	45.05
50939	122.82	45.33
50940	123.17	45.85
50945	124.27	45.5
50946	124.83	45.18
50948	124.02	45.0
50949	124.87	45.08
50950	125.25	45.7
50953	126.77	45.75
50954	125.08	45.5
50955	126.3	45.38
50956	126.57	45.93
50958	126.95	45.52
50960	127.45	45.78
50962	128.03	45.95
50963	128.73	45.97
50964	128.8	45.83
50965	128.28	45.45
50968	127.97	45.22
50971	131.02	45.77
50973	130.6	45.75
50978	130.93	45.3
50979	130.23	45.27
50983	132.97	45.77
50985	131.87	45.55
50987	131.13	45.25
51053	86.4	48.05
51058	87.97	47.1
51059	85.87	47.43
51060	86.87	47.7
51068	87.47	47.12
51076	88.08	47.73
51087	89.52	46.98
51133	83.0	46.73
51137	82.93	46.2
51145	83.65	46.55
51156	85.72	46.78
51159	85.68	46.08
51186	90.38	46.67
51232	82.57	45.18
51238	82.07	44.9
51241	83.6	45.93
51243	84.85	45.62
51246	84.97	45.47
51288	90.53	45.37
51328	80.42	44.2
51329	80.85	44.05
51330	81.02	44.97
51334	82.9	44.6
51346	84.67	44.43
51352	85.25	44.85
51353	86.1	45.02
51356	86.05	44.32
51357	85.62	44.33
51358	85.82	44.28
51359	86.2	44.32
51365	87.53	44.2
51367	86.82	44.13
51368	87.32	44.12
51369	87.65	43.97
51377	87.92	44.17
51378	89.17	44.02
51379	89.57	44.02
51430	81.15	43.83
51431	81.33	43.95
51433	82.52	43.8
51434	81.53	43.97
51435	82.23	43.47
51436	83.3	43.45
51437	81.13	43.15
51438	81.77	43.18
51462	87.55	43.85
51463	87.65	43.78
51465	87.1	43.48
51466	87.88	43.45
51467	86.3	42.73
51468	86.83	43.1
51469	87.18	43.45
51470	88.12	43.88
51477	88.32	43.35
51482	90.28	43.83
51495	91.73	43.22
51526	88.22	42.23
51542	84.15	43.03
51559	86.4	42.32
51567	86.57	42.08
51568	86.8	42.25
51571	88.63	42.8
51572	89.25	42.83
51573	89.2	42.93
51581	90.23	42.85
51627	79.23	41.22
51628	80.23	41.17
51629	80.23	41.27
51633	81.9	41.78
51636	82.62	41.53
51639	82.78	41.23
51642	84.25	41.78
51644	82.97	41.72
51655	86.27	41.35
51656	86.13	41.75
51661	86.2	41.77
51663	86.73	41.9
51701	75.4	40.52
51704	76.17	39.72
51705	75.25	39.72
51707	76.73	39.5
51708	75.95	39.15
51709	75.98	39.47
51711	78.45	40.93
51716	78.57	39.8
51717	76.78	39.25
51720	79.05	40.5
51722	80.4	40.65
51730	81.27	40.55
51747	83.67	39.0
51765	87.7	40.63
51777	88.17	39.03
51802	76.17	38.93
51804	75.23	37.77
51810	77.63	38.92
51811	77.27	38.43
51814	77.4	37.92
51815	77.27	38.2
51818	78.28	37.62
51826	80.8	37.02
51827	79.72	37.28
51828	79.93	37.13
51829	80.17	37.08
51839	82.72	37.07
51855	85.55	38.15
51886	90.85	38.25
51931	81.65	36.85
52101	93.05	43.6
52112	95.13	43.77
52118	94.7	43.27
52203	93.52	42.82
52267	101.07	41.95
52313	94.67	41.53
52323	97.03	41.8
52378	102.37	41.37
52418	94.68	40.15
52424	95.78	40.53
52436	97.03	40.27
52446	99.52	40.3
52447	98.88	40.0
52495	104.8	40.17
52515	94.87	39.52
52532	98.28	39.75
52533	98.48	39.77
52546	99.83	39.37
52557	100.17	39.15
52575	102.78	39.42
52576	101.68	39.22
52602	93.33	38.75
52607	106.65	39.43
52633	98.42	38.82
52643	99.62	38.83
52645	99.58	38.42
52652	100.43	38.93
52656	100.82	38.43
52657	100.25	38.18
52661	101.08	38.8
52674	101.97	38.23
52675	102.2	38.53
52679	102.67	37.92
52681	103.08	38.63
52707	93.68	36.8
52713	95.35	37.85
52737	97.38	37.37
52745	99.02	37.3
52754	100.13	37.33
52765	101.62	37.38
52784	102.9	37.47
52787	102.87	37.2
52797	104.05	37.18
52818	94.92	36.42
52825	96.43	36.43
52833	98.48	36.93
52836	98.1	36.3
52842	99.08	36.78
52853	100.98	36.9
52854	100.48	36.58
52855	101.25	36.68
52856	100.62	36.27
